url,status_code,page_type,title_tag,meta_description_present,h1_text,primary_cta,trust_signals_present,indexable,notes
https://tripointdiagnostics.co.uk/,200,home,"TriPoint Diagnostics - Mobile Vehicle Diagnostics & Repairs | Kent & SE London",yes,"Mobile Vehicle Diagnostics & Repairs",book/whatsapp,"pricing/company-details",yes,"Strong hero with rotating images; pricing stat says '£80+' but actual minimum is £120"
https://tripointdiagnostics.co.uk/services,200,service,"Services | TriPoint Diagnostics",yes,"Our Services",book,"pricing",yes,"Good overview page; 4 service cards with from-prices"
https://tripointdiagnostics.co.uk/services/diagnostic-callout,200,service,"Diagnostic Callout | TriPoint Diagnostics",yes,"Diagnostic Callout",book,"pricing/photos",yes,"Detailed service page with hero image; from £120 pricing CTA"
https://tripointdiagnostics.co.uk/services/vor-triage,200,service,"VOR / Priority Triage | TriPoint Diagnostics",yes,"VOR / Priority Triage",book,"pricing/photos",yes,"Commercial focus; from £160; deposit info in notice"
https://tripointdiagnostics.co.uk/services/emissions-diagnostics,200,service,"Emissions Fault Decision Visit | TriPoint Diagnostics",yes,"Emissions Fault Decision Visit",book,"pricing/photos/compliance",yes,"Strong compliance messaging; from £170; ULEZ mentioned"
https://tripointdiagnostics.co.uk/services/pre-purchase-health-check,200,service,"Pre-Purchase Digital Health Check | TriPoint Diagnostics",yes,"Pre-Purchase Digital Health Check",book,"pricing/photos",yes,"Good buyer-focused copy; from £160"
https://tripointdiagnostics.co.uk/pricing,200,pricing,"Pricing | TriPoint Diagnostics",yes,"Pricing",book,"pricing/zones",yes,"Full pricing table with zones and add-ons; zone calculator present"
https://tripointdiagnostics.co.uk/coverage,200,area,"Coverage Area | TriPoint Diagnostics",yes,"Service Area & Coverage",book,"zones/towns",yes,"Map placeholder ('Interactive map coming soon'); towns listed"
https://tripointdiagnostics.co.uk/booking,200,contact,"Book a Diagnostic | TriPoint Diagnostics",yes,"Book a Diagnostic",book/form,"pricing/zones",yes,"Live booking scheduler with Google Calendar; zone calculator"
https://tripointdiagnostics.co.uk/contact,200,contact,"Contact | TriPoint Diagnostics",yes,"Get in Touch",call/whatsapp/form,"phone/email",yes,"Contact form saves to localStorage only (not wired to API)"
https://tripointdiagnostics.co.uk/about,200,other,"About | TriPoint Diagnostics",yes,"About TriPoint Diagnostics",book,"photos/compliance",yes,"No personal bio or founder details; good equipment gallery"
https://tripointdiagnostics.co.uk/our-work,200,other,"Our Work | TriPoint Diagnostics",yes,"Our Work",none,"photos",yes,"50+ real photos with category filter; no CTA on page"
https://tripointdiagnostics.co.uk/faq,200,other,"Frequently Asked Questions | TriPoint Diagnostics",yes,"Frequently Asked Questions",contact,"none",yes,"10 FAQs with accordion; no FAQ schema markup"
https://tripointdiagnostics.co.uk/blog,200,blog,"Blog | TriPoint Diagnostics",yes,"Blog",contact,"none",yes,"Placeholder page - 'coming soon'; 3 placeholder article cards"
https://tripointdiagnostics.co.uk/legal/privacy-policy,200,legal,"Privacy Policy | TriPoint Diagnostics",yes,"Privacy Policy",none,"none",yes,"Has [DATE] and [EMAIL] placeholders unfilled"
https://tripointdiagnostics.co.uk/legal/terms,200,legal,"Terms of Service | TriPoint Diagnostics",yes,"Terms of Service",none,"insurance",yes,"Has [DATE] and [SPECIFY METHODS] placeholders; mentions insurance"
https://tripointdiagnostics.co.uk/legal/disclaimer,200,legal,"Disclaimer | TriPoint Diagnostics",yes,"Disclaimer",none,"compliance",yes,"Has [DATE] placeholder; good emissions compliance section"
